2018103122001410051010622832	,81673108073634819   	,2018-10-31 15:19:57 ,2018-10-31 15:20:04 ,2018-10-31 15:20:04 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,商户简称：亚马逊中国Amazon.cn,D01-7582157-5470236 ,25.99   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2018103122001410051010618705	,12500773738364710   	,2018-10-31 14:36:34 ,2018-10-31 14:36:41 ,2018-10-31 14:36:41 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,商户简称：亚马逊中国Amazon.cn,D01-9208635-2660658 ,11.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2018103122001410051010638223	,14668405260553100   	,2018-10-31 14:20:37 ,2018-10-31 14:20:43 ,2018-10-31 14:20:43 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,商户简称：亚马逊中国Amazon.cn,D01-1158942-7915040 ,64.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2018103122001410051010370479	,7895250181320034    	,2018-10-31 07:45:34 ,2018-10-31 07:45:35 ,2018-10-31 07:45:35 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,康乐蔬菜水果超市上海新家园路  ,康乐蔬菜水果超市上海新家园路      ,1.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20181031311680480051 	,                    	,2018-10-31 06:12:13 ,                    ,2018-10-31 06:12:13 ,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2018.10.30-收益发放 ,0.01    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20181030309444448051 	,                    	,2018-10-30 08:22:30 ,                    ,2018-10-30 08:22:30 ,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2018.10.29-收益发放 ,0.01    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2018103022001410051010369979	,7895250170373698    	,2018-10-30 07:47:52 ,2018-10-30 07:47:52 ,2018-10-30 07:47:52 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,康乐蔬菜水果超市上海新家园路  ,康乐蔬菜水果超市上海新家园路      ,1.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2018102922001410051010085898	,181029287215049198  	,2018-10-29 10:28:31 ,2018-10-29 10:28:32 ,2018-10-29 10:28:32 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,上海鲜动信息技术有限公司    ,魔盒CITYBOX购买商品       ,5.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2018102922001110051010168437	,T200P251131522616107730	,2018-10-29 09:08:34 ,2018-10-29 09:08:46 ,2018-11-02 09:10:37 ,淘宝        ,支付宝担保交易         ,星星小猫咪           ,厂家直销春秋中厚连裤袜200D打底袜裤秋压力瘦腿袜提臀防脱丝义乌,16.90   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20181029305125494051 	,                    	,2018-10-29 08:44:34 ,                    ,2018-10-29 08:44:34 ,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2018.10.28-收益发放 ,0.01    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2018102822001410051010076528	,7895250144238718    	,2018-10-28 13:57:42 ,2018-10-28 13:57:45 ,2018-10-28 13:57:45 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,森田护肤造型上海新家园路店   ,森田护肤造型上海新家园路店       ,2000.00 ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2018102822001410051010076493	,7895250149035480    	,2018-10-28 12:57:51 ,2018-10-28 12:57:51 ,2018-10-28 12:57:51 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,麦香牛肉面上海新家园路店    ,麦香牛肉面上海新家园路店        ,2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2018102822001410051009925454	,15406871746802182610051	,2018-10-28 08:39:35 ,2018-10-28 08:39:38 ,2018-10-28 08:39:38 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,杂粮煎饼            ,商品                  ,10.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20181028301367325051 	,                    	,2018-10-28 06:26:31 ,                    ,2018-10-28 06:26:31 ,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2018.10.27-收益发放 ,0.01    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2018102722001410051009781938	,87126231596122      	,2018-10-27 18:04:30 ,2018-10-27 18:04:34 ,2018-10-27 18:04:34 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,赤道海鲜烧烤纸包鱼       ,新八戒板栗-古楼公路店         ,10.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20181027399069350051 	,                    	,2018-10-27 09:37:15 ,                    ,2018-10-27 09:37:15 ,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2018.10.26-收益发放 ,0.01    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2018102722001410051009684065	,15406015852802182610051	,2018-10-27 08:53:05 ,2018-10-27 08:53:08 ,2018-10-27 08:53:08 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,杂粮煎饼            ,商品                  ,10.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
